Title,Price,Location,Link
Group House in Mt Pleasant seeking 5th roomate!,Mount Pleasant,Mount Pleasant,https://washingtondc.craigslist.org/doc/apa/d/washington-group-house-in-mt-pleasant/7736097603.html
"Just stunning! Spacious 1 Bed, 1 bath with lots of light",Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-just-stunning-spacious-bed/7737445742.html
"Wonderful amenities, great style, brand new construction!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-wonderful-amenities-great/7736160558.html
This is the place you've been looking for! 1 BD / 1 BA!,Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-this-is-the-place-youve/7736616338.html
"Your dream 1 bed, 1 bath is closer than you think! Call now!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-your-dream-bed-bath-is/7738034902.html
TWO-WEEK STUNNING PETWORTH SUBLET WITH PRIVATE GARDEN,"Petworth, Washington D.C.","Petworth, Washington D.C.",https://washingtondc.craigslist.org/doc/apa/d/washington-two-week-stunning-petworth/7738018644.html
"1/bd, Mini/Vertical Blind Window Coverings, Linen Closet",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-bd-mini-vertical-blind/7733983487.html
"Courtyard, 1BD 1BA, In Hyattsville","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-courtyard-1bd-1ba-in/7734034129.html
"Wall-to-Wall Carpet Option, Separate Dining Area, 1BD 1BA","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-wall-to-wall-carpet-option/7732122184.html
2-Level Top Floor Penthouse with Private Outdoor Space,district of columbia,district of columbia,https://washingtondc.craigslist.org/doc/apa/d/washington-level-top-floor-penthouse/7737982713.html
"1/BD, High Speed Internet Access, Hardwood Floor Option","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-high-speed-internet/7732952295.html
"1/BD, Separate Dining Area, Courtyard","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-separate-dining-area/7729494555.html
"On-Site Laundry Facilities, in Hyattsville MD, 1 Bed","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-on-site-laundry-facilities/7734219066.html
Fabulous independent living community for seniors! 1 Bed / 1 Bath!,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-fabulous-independent-living/7733631274.html
"For affordable living in Kensington, check out this 1 bed, 1 bath!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-for-affordable-living-in/7735854584.html
Affordable Housing – Rent Reduce –The Veridian Apartments,Silver Spring,Silver Spring,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-affordable-housing-rent/7733075524.html
Income Restricted 1-Bedroom – Priced Well Below Market Prices,Chevy Chase,Chevy Chase,https://washingtondc.craigslist.org/mld/apa/d/chevy-chase-income-restricted-bedroom/7734190147.html
"Stainless-steel kitchen appliances, Elevated 9'-11.5' ceilings",Silver Spring,Silver Spring,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-stainless-steel-kitchen/7737832128.html
"in Silver Spring MD, 1BD 1BA, Washer/Dryer in Every Home",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-in-silver-spring-md-1bd/7734151680.html
Furnished basement apartment for rent,"Chevy Chase, DC","Chevy Chase, DC",https://washingtondc.craigslist.org/doc/apa/d/washington-furnished-basement-apartment/7737805694.html
"A fresh take on living: Explore our 1 BR, 750 Sq Ft spaces.",Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-fresh-take-on-living/7737787587.html
"ALL UTILITIES INCLUDED, Furnished private 1BR/1BA in 2BR/2BA house","Brentwood, MD","Brentwood, MD",https://washingtondc.craigslist.org/doc/apa/d/brentwood-all-utilities-included/7728546377.html
Don't miss out! Incredible move in deal on this 1 bed 1 bath!,Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-dont-miss-out-incredible/7736616443.html
"1 BD, Ample Closet Space, Located in Hyattsville",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-bd-ample-closet-space/7733613364.html
"Don't miss this fabulous 1 Bed, 1 Bath! Highly desirable location!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-dont-miss-this-fabulous-bed/7737683305.html
"Affordable Housing - A price you can afford! 1 bd, 1 ba, 750 sqft!",Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-affordable-housing-price/7735995956.html
Wow! You'll love this amazing 1 bed 1 bath home in Takoma Park,Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-wow-youll-love-this-amazing/7737682950.html
Don't wait! These move-in deals are going fast!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-dont-wait-these-move-in-deals/7737680650.html
"1 Bed, Renovated Homes Available, Gas & Electric Included!","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bed-renovated-homes/7732314897.html
"Hyattsville MD, 1 BD, On-Site Management Team","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-hyattsville-md-bd-on-site/7733108656.html
"1 bedroom, Park-Like Setting, Separate Dining Area","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bedroom-park-like-setting/7731696476.html
"Volleyball Court, Gas & Electric Included!",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-volleyball-court-gas/7729149589.html
"Recycling, Gas Range, 1/BD 1/BA","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-recycling-gas-range-bd-ba/7733879884.html
Available NOW - Call Today,"Silver Spring, MD","Silver Spring, MD",https://washingtondc.craigslist.org/mld/apa/d/silver-spring-available-now-call-today/7731936934.html
In Hyattsville 1BD 1BA,"5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-in-hyattsville-1bd-1ba/7733174035.html
"Live, Laugh, Love The Warwick","Silver Spring, MD","Silver Spring, MD",https://washingtondc.craigslist.org/mld/apa/d/silver-spring-live-laugh-love-the/7731936304.html
"Courtyard, Ample Closet Space, Park-Like Setting","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-courtyard-ample-closet/7731907886.html
"In Hyattsville, 1BD 1BA, Separate Dining Area","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-in-hyattsville-1bd-1ba/7731845330.html
"remodeled 620-square-foot condo, recently refreshed for modern living.",maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/college-park-remodeled-620-square-foot/7737533161.html
Room available/Rockville,rockville,rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-room-available-rockville/7727881402.html
Cozy/Safe/Large Room at Rockville,rockville,rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-cozy-safe-large-room-at/7727884216.html
"1/BD, Playground, Renovated Kitchens",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-bd-playground-renovated/7734039821.html
relocating experts,district of columbia,district of columbia,https://washingtondc.craigslist.org/doc/apa/d/washington-relocating-experts/7734073491.html
"Walk-in Closets, On-Site Management & Maintenance",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-walk-in-closets-on-site/7734039162.html
"Basement Apartment in Silver Spring downtown area, $1,350",Silver Spring Downtown,Silver Spring Downtown,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-basement-apartment-in/7737387041.html
"Don't miss this fabulous 1 Bed, 1 Bath! Highly desirable location!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-dont-miss-this-fabulous-bed/7737376744.html
blend of comfort and convenience in a sought-after setting.,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/burtonsville-blend-of-comfort-and/7737356129.html
New flooring on main level and freshly painted throughout.,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/laurel-new-flooring-on-main-level-and/7737348237.html
Brand new 1 bed / 1 bath! Don't settle for less!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-brand-new-bed-bath-dont/7735988381.html
"Bordered by Lincoln and Stanton Parks, at the nexus of Eastern Market",district of columbia,district of columbia,https://washingtondc.craigslist.org/doc/apa/d/washington-bordered-by-lincoln-and/7737219579.html
1 bedroom basement for rent,SILVER SPRING,SILVER SPRING,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-bedroom-basement-for-rent/7736280003.html
Fabulous independent living community for seniors! 1 Bed / 1 Bath!,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-fabulous-independent-living/7736470669.html
Captivating Columbia Heights Condo,district of columbia,district of columbia,https://washingtondc.craigslist.org/doc/apa/d/washington-captivating-columbia-heights/7737080229.html
Room in furnished house -walk to NIH/ USUHS/Metro/Walter Reed,Bethesda Downtown area/Wiconsin and Rosedale ave,Bethesda Downtown area/Wiconsin and Rosedale ave,https://washingtondc.craigslist.org/mld/apa/d/bethesda-room-in-furnished-house-walk/7735507663.html
Easy Red Line Access; Walking path to Grosvenor Metro! Central 'North,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-easy-red-line-access-walking/7736724154.html
"Spacious, updated unit with great light. GP1 is a great community - wi",Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-spacious-updated-unit-with/7736723340.html
Delightful 1 bed / 1 bath in Rockville. 713 Sq Ft. Great value!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-delightful-bed-bath-in/7736618718.html
Don't wait! These move-in deals are going fast!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-dont-wait-these-move-in-deals/7736618664.html
Ideal location! Close to everything! 1 bed / 1 bath! 713 Sqft!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-ideal-location-close-to/7735623883.html
Spacious and elegant! You've found your ideal 1 bed / 1 bath!,Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-spacious-and-elegant-youve/7735296668.html
Prime location! Amazing floorplans. Come check us out.,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-prime-location-amazing/7729743830.html
"Spacious affordable 750 sq ft, 1 bed, 1 bath for rent in Takoma Park",Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-spacious-affordable-750-sq/7736570904.html
Ideal location! Close to everything! 1 bed / 1 bath! 713 Sqft!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-ideal-location-close-to/7735672820.html
Call us today for great prices at our Affordable Community,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-call-us-today-for-great/7729743636.html
"A fresh take on living: Explore our 1 BR, 713 Sq Ft spaces.",Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-fresh-take-on-living-explore/7736500881.html
"A fresh take on living: Explore our 1 BR, 713 Sq Ft spaces.",Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-fresh-take-on-living-explore/7736500857.html
"A fresh take on living: Explore our 1 BR, 713 Sq Ft spaces.",Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-fresh-take-on-living-explore/7736500818.html
"Affordable Housing - A price you can afford! 1 bd, 1 ba, 750 sqft!",Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-affordable-housing-price/7735843998.html
"1/bd, Park-Like Setting, Courtyard",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-bd-park-like-setting/7726740955.html
Bedroom for rent/20850/single house,Rockville/NIH/Metro,Rockville/NIH/Metro,https://washingtondc.craigslist.org/doc/apa/d/rockville-bedroom-for-rent-single-house/7732584690.html
"Affordable Housing - A price you can afford! 1 bd, 1 ba, 750 sqft!",Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-affordable-housing-price/7735669122.html
Great Furnished Room,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-great-furnished-room/7736364804.html
You will love this 1 bed / 1 bath. A Higher Quality of Living!,Rockville - Rockville Town Center,Rockville - Rockville Town Center,https://washingtondc.craigslist.org/mld/apa/d/rockville-you-will-love-this-bed-bath/7727409925.html
Lovely 1 Bedroom apartment! Beautiful garden-like setting!,Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-lovely-bedroom-apartment/7735670043.html
Ideal location! Close to everything! 1 bed / 1 bath! 713 Sqft!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-ideal-location-close-to/7735672846.html
Simply stunning garden-style 1 Bed / 1 Bath in Takoma Park,Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-simply-stunning-garden/7736292774.html
"Affordable Housing - A price you can afford! 1 bd, 1 ba, 750 sqft!",Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-affordable-housing-price/7735614879.html
This fully remodeled 1 bed / 1 bath could be The One!,Rockville - Rockville Town Center,Rockville - Rockville Town Center,https://washingtondc.craigslist.org/mld/apa/d/rockville-this-fully-remodeled-bed-bath/7727409297.html
"Spacious affordable 750 sq ft, 1 bed, 1 bath for rent in Takoma Park",Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-spacious-affordable-750-sq/7736241909.html
Lots of room to call your own! Spacious 1 bed! Beautiful neighborhood!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-lots-of-room-to-call-your-own/7736241678.html
"A fresh take on living: Explore our 1 BR, 713 Sq Ft spaces.",Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-fresh-take-on-living-explore/7736241643.html
Don't miss out! Incredible move in deal on this 1 bed 1 bath!,Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-dont-miss-out-incredible/7735525123.html
Welcome!!!! Welcome!!!,Greenbelt,Greenbelt,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-welcome-welcome/7736214549.html
"A fresh take on living: Explore our 1 BR, 713 Sq Ft spaces.",Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-fresh-take-on-living-explore/7736195804.html
"Affordable Housing - A price you can afford! 1 bd, 1 ba, 750 sqft!",Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-affordable-housing-price/7736155895.html
"Situated in Hyattsville!, Volleyball Court, 1 Bed","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-situated-in-hyattsville/7726798170.html
You've picked a great space! We're near public transport,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-youve-picked-great-space/7726705096.html
Now Leasing - New Construction in Rockville! Tour today!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-now-leasing-new-construction/7735988346.html
Prime location! Amazing floorplans. Come check us out.,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-prime-location-amazing/7735988299.html
Fully furnished modern 1bd- Large yard- Parking included,Columbia Heights,Columbia Heights,https://washingtondc.craigslist.org/doc/apa/d/washington-fully-furnished-modern-1bd/7731512841.html
sunny basement apartment,16th Street Heights,16th Street Heights,https://washingtondc.craigslist.org/doc/apa/d/washington-sunny-basement-apartment/7727147350.html
WELCOME HOME!!😍🎉,Greenbelt,Greenbelt,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-welcome-home/7735658064.html
"For affordable living in Kensington, check out this 1 bed, 1 bath!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-for-affordable-living-in/7735520812.html
You've picked a great space! We're near public transport,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-youve-picked-great-space/7729109661.html
"For affordable living in Kensington, check out this 1 bed, 1 bath!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-for-affordable-living-in/7734108259.html
Delightful 1 bed / 1 bath in Rockville. 713 Sq Ft. Great value!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-delightful-bed-bath-in/7733998300.html
Spacious and beautiful. Consider your new 1 bed / 1 bath found!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-spacious-and-beautiful/7733998357.html
Spacious and beautiful. Consider your new 1 bed / 1 bath found!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-spacious-and-beautiful/7733998478.html
"Spacious, comfortable 713 Sq Ft 1 bed, 1 bath! Now showing!",Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-spacious-comfortable-713-sq/7733998633.html
Delightful 1 bed / 1 bath in Rockville. 713 Sq Ft. Great value!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-delightful-bed-bath-in/7735321058.html
Delightful 1 bed / 1 bath in Rockville. 713 Sq Ft. Great value!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-delightful-bed-bath-in/7735320921.html
BASEMENT APARTMENT,Rockville/Silver Spring,Rockville/Silver Spring,https://washingtondc.craigslist.org/mld/apa/d/garrett-park-basement-apartment/7735309837.html
Brand new 1 bed / 1 bath! Don't settle for less!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-brand-new-bed-bath-dont/7735297868.html
Ideal location! Close to everything! 1 bed / 1 bath! 713 Sqft!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-ideal-location-close-to/7735297757.html
Beautiful 1 bed / 1 bath in a great neighborhood! Ready to view now!,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-beautiful-bed-bath-in-great/7731443693.html
OPEN HOUSE TODAY SATURDAY 4/6! $1000 OFF APRIL RENT!,Greenbelt,Greenbelt,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-open-house-today-saturday-off/7734664761.html
700sq.ft Basement reduced rent in exchange for childcare,ROCKVILLE,ROCKVILLE,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-700sqft-basement-reduced/7734574939.html
OPEN HOUSE THIS SATURDAY 4/6! $1000 OFF APRIL RENT!,Greenbelt,Greenbelt,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-open-house-this-saturday-off/7734326099.html
"1 BD, Wall-to-Wall Carpet Option, Hardwood Floor Option","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-wall-to-wall-carpet/7734172403.html
